pincode,officename,pincode_type,deliverystatus,divisionname,regionname,circlename,taluk,districtname,statename,telephone,related_suboffice,related_headoffice,longitude,latitude
110001,New Delhi G.P.O.,Head Post Office,Delivery,New Delhi Central,Delhi,Delhi,New Delhi,New Delhi,Delhi,011-23366666,NA,NA,77.2167,28.6333
473462,Bangalore Village,Sub Post Office,Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Mandal D,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
808130,Bangalore Village,Branch Post Office,Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Tehsil A,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
459696,New Delhi Central,Sub Post Office,Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Mandal D,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
333469,Chennai Town Hall,Branch Post Office,Non-Delivery,Chennai Division,Chennai Region,Tamil Nadu Circle,Block C,Chennai,Tamil Nadu,011-23456789,NA,Chennai GPO,,
771566,Lucknow Village,Branch Post Office,Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Block C,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
303434,Chennai North,Branch Post Office,Delivery,Chennai Division,Chennai Region,Tamil Nadu Circle,Tehsil A,Chennai,Tamil Nadu,011-23456789,NA,Chennai GPO,,
619947,Lucknow Town Hall,Branch Post Office,Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Mandal D,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
536738,Kolkata Central,Sub Post Office,Non-Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Tehsil A,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
562363,Mumbai South,Head Post Office,Non-Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Tehsil B,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
742527,Chennai GPO,Sub Post Office,Non-Delivery,Chennai Division,Chennai Region,Tamil Nadu Circle,Tehsil A,Chennai,Tamil Nadu,011-23456789,NA,Chennai GPO,,
182490,New Delhi GPO,Sub Post Office,Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Tehsil B,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
496838,Jaipur West,Branch Post Office,Delivery,Jaipur Division,Jaipur Region,Rajasthan Circle,Mandal D,Jaipur,Rajasthan,011-23456789,NA,Jaipur GPO,,
127738,New Delhi Industrial Area,Head Post Office,Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Mandal D,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
301550,Mumbai South,Head Post Office,Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Tehsil A,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
401230,Kolkata Industrial Area,Head Post Office,Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Block C,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
535167,Chennai Town Hall,Branch Post Office,Non-Delivery,Chennai Division,Chennai Region,Tamil Nadu Circle,Mandal D,Chennai,Tamil Nadu,011-23456789,NA,Chennai GPO,,
354058,Mumbai Town Hall,Head Post Office,Non-Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Block C,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
694625,Lucknow Village,Head Post Office,Non-Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Tehsil A,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
